Time,Bgn Entity,Bgn Pos LLA_DD,End Entity,End Pos LLA_DD,Earth Model,Az(M),Az(T),El,Cmp(T),Dist,Rng,Alt,Dist(B),Rng(B)
173 2015 11:00:15.724,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:15.724,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:15.724,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:15.724,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:16.75,origin,,Target_1,,WGS84,,305,,,,54305.1,350,,
173 2015 11:00:16.75,origin,,Target_2,,WGS84,,303.3,,,,54708.8,350,,
173 2015 11:00:16.75,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:16.75,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:16.75,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:16.75,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:17.792,origin,,Target_1,,WGS84,,305,,,,54111.9,350,,
173 2015 11:00:17.792,origin,,Target_2,,WGS84,,303.3,,,,54516.5,350,,
173 2015 11:00:17.792,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:17.792,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:17.792,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:17.792,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:18.838,origin,,Target_1,,WGS84,,305,,,,53917.8,350,,
173 2015 11:00:18.838,origin,,Target_2,,WGS84,,303.3,,,,54323.3,350,,
173 2015 11:00:18.838,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:18.838,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:18.838,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:18.838,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:19.872,origin,,Target_1,,WGS84,,305,,,,53725.8,350,,
173 2015 11:00:19.872,origin,,Target_2,,WGS84,,303.3,,,,54132.2,350,,
173 2015 11:00:19.872,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:19.872,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:19.872,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:19.872,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:20.911,origin,,Target_1,,WGS84,,305.1,,,,53532.9,350,,
173 2015 11:00:20.911,origin,,Target_2,,WGS84,,303.4,,,,53940.1,350,,
173 2015 11:00:20.911,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:20.911,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:20.911,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:20.911,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:21.95,origin,,Target_1,,WGS84,,305.1,,,,53339.9,350,,
173 2015 11:00:21.95,origin,,Target_2,,WGS84,,303.4,,,,53747.9,350,,
173 2015 11:00:21.95,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:21.95,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:21.95,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:21.95,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:22.999,origin,,Target_1,,WGS84,,305.1,,,,53145.1,350,,
173 2015 11:00:22.999,origin,,Target_2,,WGS84,,303.4,,,,53553.9,350,,
173 2015 11:00:22.999,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:22.999,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:22.999,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:22.999,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:24.044,origin,,Target_1,,WGS84,,305.1,,,,52951.1,350,,
173 2015 11:00:24.044,origin,,Target_2,,WGS84,,303.4,,,,53360.6,350,,
173 2015 11:00:24.044,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:24.044,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:24.044,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:24.044,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:25.083,origin,,Target_1,,WGS84,,305.1,,,,52758,350,,
173 2015 11:00:25.083,origin,,Target_2,,WGS84,,303.5,,,,53168.3,350,,
173 2015 11:00:25.083,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:25.083,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:25.083,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:25.083,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:26.147,origin,,Target_1,,WGS84,,305.2,,,,52560.3,350,,
173 2015 11:00:26.147,origin,,Target_2,,WGS84,,303.5,,,,52971.4,350,,
173 2015 11:00:26.147,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:26.147,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:26.147,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:26.147,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:27.202,origin,,Target_1,,WGS84,,305.2,,,,52364.3,350,,
173 2015 11:00:27.202,origin,,Target_2,,WGS84,,303.5,,,,52776.1,350,,
173 2015 11:00:27.202,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:27.202,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:27.202,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:27.202,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:28.249,origin,,Target_1,,WGS84,,305.2,,,,52169.6,350,,
173 2015 11:00:28.249,origin,,Target_2,,WGS84,,303.5,,,,52582.1,350,,
173 2015 11:00:28.249,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:28.249,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:28.249,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:28.249,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:29.309,origin,,Target_1,,WGS84,,305.2,,,,51972.6,350,,
173 2015 11:00:29.309,origin,,Target_2,,WGS84,,303.6,,,,52385.8,350,,
173 2015 11:00:29.309,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:29.309,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:29.309,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:29.309,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:30.38,origin,,Target_1,,WGS84,,305.2,,,,51773.6,350,,
173 2015 11:00:30.38,origin,,Target_2,,WGS84,,303.6,,,,52187.4,350,,
173 2015 11:00:30.38,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:30.38,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:30.38,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:30.38,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:31.413,origin,,Target_1,,WGS84,,305.3,,,,51581.5,350,,
173 2015 11:00:31.413,origin,,Target_2,,WGS84,,303.6,,,,51996,350,,
173 2015 11:00:31.413,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:31.413,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:31.413,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:31.413,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:32.442,origin,,Target_1,,WGS84,,305.3,,,,51390,350,,
173 2015 11:00:32.442,origin,,Target_2,,WGS84,,303.6,,,,51805.1,350,,
173 2015 11:00:32.442,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:32.442,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:32.442,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:32.442,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:33.472,origin,,Target_1,,WGS84,,305.3,,,,51198.4,350,,
173 2015 11:00:33.472,origin,,Target_2,,WGS84,,303.7,,,,51614.2,350,,
173 2015 11:00:33.472,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:33.472,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:33.472,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:33.472,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:34.511,origin,,Target_1,,WGS84,,305.3,,,,51005.2,350,,
173 2015 11:00:34.511,origin,,Target_2,,WGS84,,303.7,,,,51421.5,350,,
173 2015 11:00:34.511,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:34.511,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:34.511,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:34.511,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:35.544,origin,,Target_1,,WGS84,,305.3,,,,50812.9,350,,
173 2015 11:00:35.544,origin,,Target_2,,WGS84,,303.7,,,,51229.8,350,,
173 2015 11:00:35.544,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:35.544,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:35.544,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:35.544,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:36.582,origin,,Target_1,,WGS84,,305.3,,,,50619.7,350,,
173 2015 11:00:36.582,origin,,Target_2,,WGS84,,303.7,,,,51037.2,350,,
173 2015 11:00:36.582,origin,,Target_3,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:36.582,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:36.582,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:36.582,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:37.629,origin,,Target_1,,WGS84,,305.4,,,,50424.9,350,,
173 2015 11:00:37.629,origin,,Target_2,,WGS84,,303.7,,,,50842.9,350,,
173 2015 11:00:37.629,origin,,Target_3,,WGS84,,321.8,,,,34543.4,200.7,,
173 2015 11:00:37.629,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:37.629,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:37.629,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:38.677,origin,,Target_1,,WGS84,,305.4,,,,50229.8,350,,
173 2015 11:00:38.677,origin,,Target_2,,WGS84,,303.8,,,,50648.3,350,,
173 2015 11:00:38.677,origin,,Target_3,,WGS84,,321.8,,,,34473.6,517.7,,
173 2015 11:00:38.677,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:38.677,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:38.677,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:39.733,origin,,Target_1,,WGS84,,305.4,,,,50033.2,350,,
173 2015 11:00:39.733,origin,,Target_2,,WGS84,,303.8,,,,50452.3,350,,
173 2015 11:00:39.733,origin,,Target_3,,WGS84,,321.8,,,,34343.8,816.6,,
173 2015 11:00:39.733,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:39.733,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:39.733,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:40.798,origin,,Target_1,,WGS84,,305.4,,,,49835,350,,
173 2015 11:00:40.798,origin,,Target_2,,WGS84,,303.8,,,,50254.5,350,,
173 2015 11:00:40.798,origin,,Target_3,,WGS84,,321.8,,,,34157.2,1085.4,,
173 2015 11:00:40.798,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:40.798,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:40.798,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:41.845,origin,,Target_1,,WGS84,,305.4,,,,49640.1,350,,
173 2015 11:00:41.845,origin,,Target_2,,WGS84,,303.8,,,,50060.1,350,,
173 2015 11:00:41.845,origin,,Target_3,,WGS84,,321.8,,,,33925.3,1306.8,,
173 2015 11:00:41.845,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:41.845,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:41.845,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:42.913,origin,,Target_1,,WGS84,,305.4,,,,49441,350,,
173 2015 11:00:42.913,origin,,Target_2,,WGS84,,303.8,,,,49861.6,350,,
173 2015 11:00:42.913,origin,,Target_3,,WGS84,,321.8,,,,33647.7,1480.3,,
173 2015 11:00:42.913,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:42.913,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:42.913,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:43.976,origin,,Target_1,,WGS84,,305.5,,,,49243,350,,
173 2015 11:00:43.976,origin,,Target_2,,WGS84,,303.9,,,,49664.1,350,,
173 2015 11:00:43.976,origin,,Target_3,,WGS84,,321.8,,,,33340.6,1592.9,,
173 2015 11:00:43.976,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:43.976,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:43.976,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:45.034,origin,,Target_1,,WGS84,,305.5,,,,49045.9,350,,
173 2015 11:00:45.034,origin,,Target_2,,WGS84,,303.9,,,,49467.4,350,,
173 2015 11:00:45.034,origin,,Target_3,,WGS84,,321.8,,,,33015.8,1641.3,,
173 2015 11:00:45.034,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:45.034,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:45.034,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:46.108,origin,,Target_1,,WGS84,,305.5,,,,48846,350,,
173 2015 11:00:46.108,origin,,Target_2,,WGS84,,303.9,,,,49267.9,350,,
173 2015 11:00:46.108,origin,,Target_3,,WGS84,,321.8,,,,32679.8,1623.4,,
173 2015 11:00:46.108,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:46.108,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:46.108,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:47.174,origin,,Target_1,,WGS84,,305.5,,,,48647.3,350,,
173 2015 11:00:47.174,origin,,Target_2,,WGS84,,303.9,,,,49069.7,350,,
173 2015 11:00:47.174,origin,,Target_3,,WGS84,,321.8,,,,32353,1539.4,,
173 2015 11:00:47.174,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:47.174,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:47.174,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:48.222,origin,,Target_1,,WGS84,,305.5,,,,48452,350,,
173 2015 11:00:48.222,origin,,Target_2,,WGS84,,303.9,,,,48874.8,350,,
173 2015 11:00:48.222,origin,,Target_3,,WGS84,,321.8,,,,32045.3,1410,,
173 2015 11:00:48.222,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:48.222,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:48.222,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:49.267,origin,,Target_1,,WGS84,,305.5,,,,48257.1,350,,
173 2015 11:00:49.267,origin,,Target_2,,WGS84,,304,,,,48680.4,350,,
173 2015 11:00:49.267,origin,,Target_3,,WGS84,,321.8,,,,31739.7,1278.9,,
173 2015 11:00:49.267,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:49.267,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:49.267,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:50.337,origin,,Target_1,,WGS84,,305.6,,,,48057.7,350,,
173 2015 11:00:50.337,origin,,Target_2,,WGS84,,304,,,,48481.4,350,,
173 2015 11:00:50.337,origin,,Target_3,,WGS84,,321.8,,,,31427.5,1144.6,,
173 2015 11:00:50.337,origin,,Target_4,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:50.337,origin,,Target_5,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:50.337,origin,,Target_6,,WGS84,,N/A,,,,N/A,N/A,,
173 2015 11:00:51.396,origin,,Target_1,,WGS84,,305.6,,,,47860.4,350,,
